Observer,Date,Site,Complexity_Level,Genus,Species,Fish_Name,Juvenile,Adult,Fish_Quantity
Cook_A,9/21/2023,1,Low,plectroglyphidodon,marginatus,hawaiiangregory,0,2,2
Rahnke_S,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,0,7,7
Rahnke_S,9/21/2023,1,Medium,acanthurus,blochii,ringtailsurgeonfish,0,1,1
Rahnke_S,9/21/2023,1,Medium,aulostomus,chinensis,chinesetrumpetfish,0,1,1
Rahnke_S,9/21/2023,1,Medium,gymnothorax,meleagris,whitemouthmoray,0,3,3
InnesG_A,9/21/2023,1,Medium,thalassoma,duperrey,saddlewrasse,0,2,2
InnesG_A,9/21/2023,1,Medium,gomphosus,varius,birdwrasse,0,1,1
InnesG_A,9/21/2023,1,Medium,scarus,psittacus,palenoseparrotfish,0,2,2
InnesG_A,9/21/2023,1,Medium,scarus,rubroviolaceus,redlipparrotfish,5,0,5
InnesG_A,9/21/2023,1,Medium,ctenochaetus,strigosus,goldringsurgeonfish,0,1,1
InnesG_A,9/21/2023,1,Medium,acanthurus,nigrofuscus,brownsurgeonfish,0,1,1
InnesG_A,9/29/2023,2,Low,thalassoma,duperrey,saddlewrasse,0,2,2
InnesG_A,9/29/2023,2,Low,stethojulis,balteata,beltedwrasse,2,0,2
InnesG_A,9/29/2023,2,Low,scarus,psittacus,palenoseparrotfish,17,0,17
InnesG_A,9/29/2023,2,Low,ctenochaetus,strigosus,goldringsurgeonfish,1,0,1
InnesG_A,9/29/2023,2,Low,zebrasoma,flavescens,yellowtang,1,0,1
InnesG_A,9/29/2023,2,Low,acanthurus,nigrofuscus,brownsurgeonfish,2,0,2
InnesG_A,9/29/2023,2,Medium,thalassoma,duperrey,saddlewrasse,0,2,2
InnesG_A,9/29/2023,2,Medium,scarus,psittacus,palenoseparrotfish,42,0,42
InnesG_A,9/29/2023,2,Medium,chlorurus,spilurus,bulletheadparrotfish,10,0,10
InnesG_A,9/29/2023,2,Medium,ctenochaetus,strigosus,goldringsurgeonfish,0,1,1
InnesG_A,9/29/2023,2,Medium,zebrasoma,flavescens,yellowtang,0,3,3
InnesG_A,9/29/2023,2,High,thalassoma,duperrey,saddlewrasse,0,2,2
InnesG_A,9/29/2023,2,High,gomphosus,varius,birdwrasse,0,3,3
InnesG_A,9/29/2023,2,High,scarus,psittacus,palenoseparrotfish,50,0,50
InnesG_A,9/29/2023,2,High,chlorurus,spilurus,bulletheadparrotfish,22,0,22
InnesG_A,9/29/2023,2,High,zebrasoma,flavescens,yellowtang,0,4,4
InnesG_A,9/29/2023,2,High,acanthurus,blochii,ringtailsurgeonfish,1,0,1
InnesG_A,9/29/2023,2,High,acanthurus,nigroris,bluelinedsurgeonfish,1,0,1
InnesG_A,9/29/2023,2,High,acanthurus,nigrofuscus,brownsurgeonfish,1,0,1
InnesG_A,9/29/2023,2,High,plectroglyphidodon,johnstonianus,blueeyedamselfish,0,2,2
Cook_A,9/29/2023,2,Low,thalassoma,duperrey,saddlewrasse,0,7,7
Cook_A,9/29/2023,2,Low,stethojulis,balteata,beltedwrasse,0,5,5
Cook_A,9/29/2023,2,Low,scarus,psittacus,palenoseparrotfish,6,0,6
Cook_A,9/29/2023,2,Low,chlorurus,spilurus,bulletheadparrotfish,0,4,4
Cook_A,9/29/2023,2,Low,abudefduf,abdominalis,hawaiiansergeant,0,1,1
Cook_A,9/29/2023,2,Low,coris,flavovittata,yellowstripecoris,2,0,2
Cook_A,9/29/2023,2,Low,plectroglyphidodon,marginatus,hawaiiangregory,1,0,1
Cook_A,9/29/2023,2,Low,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,9/29/2023,2,Medium,thalassoma,duperrey,saddlewrasse,0,6,6
Cook_A,9/29/2023,2,Medium,gomphosus,varius,birdwrasse,0,3,3
Cook_A,9/29/2023,2,Medium,scarus,psittacus,palenoseparrotfish,31,0,31
Cook_A,9/29/2023,2,Medium,chlorurus,spilurus,bulletheadparrotfish,28,0,28
Cook_A,9/29/2023,2,Medium,zebrasoma,flavescens,yellowtang,3,0,3
Cook_A,9/29/2023,2,Medium,acanthurus,blochii,ringtailsurgeonfish,0,1,1
Cook_A,9/29/2023,2,Medium,plectroglyphidodon,johnstonianus,blueeyedamselfish,1,0,1
Cook_A,9/29/2023,2,High,thalassoma,duperrey,saddlewrasse,2,5,7
Cook_A,9/29/2023,2,High,stethojulis,balteata,beltedwrasse,1,2,3
Cook_A,9/29/2023,2,High,gomphosus,varius,birdwrasse,0,1,1
Cook_A,9/29/2023,2,High,scarus,psittacus,palenoseparrotfish,26,0,26
Cook_A,9/29/2023,2,High,chlorurus,spilurus,bulletheadparrotfish,5,20,25
Cook_A,9/29/2023,2,High,ctenochaetus,strigosus,goldringsurgeonfish,0,5,5
Cook_A,9/29/2023,2,High,plectroglyphidodon,marginatus,hawaiiangregory,0,1,1
Cook_A,9/29/2023,2,High,zebrasoma,flavescens,yellowtang,0,1,1
Cook_A,9/29/2023,2,High,labroides,phthirophagus,hawaiiancleanerwrasse,0,1,1
Cook_A,9/29/2023,2,High,chaetodon,trifascialis,chevronbutterflyfish,1,0,1
Cook_A,9/29/2023,2,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,9/29/2023,2,High,chelonia,mydas,greenseaturtle,0,1,1
Veneri_A,10/6/2023,3,Low,thalassoma,duperrey,saddlewrasse,0,10,10
Veneri_A,10/6/2023,3,Low,zebrasoma,flavescens,yellowtang,0,11,11
Veneri_A,10/6/2023,3,Low,acanthurus,blochii,ringtailsurgeonfish,0,3,3
Veneri_A,10/6/2023,3,Low,acanthurus,nigrofuscus,brownsurgeonfish,0,2,2
Veneri_A,10/6/2023,3,Medium,stethojulis,balteata,beltedwrasse,7,3,10
Veneri_A,10/6/2023,3,Medium,gomphosus,varius,birdwrasse,6,23,29
Veneri_A,10/6/2023,3,Medium,acanthurus,blochii,ringtailsurgeonfish,0,10,10
Veneri_A,10/6/2023,3,High,thalassoma,duperrey,saddlewrasse,0,4,4
Veneri_A,10/6/2023,3,High,gomphosus,varius,birdwrasse,0,1,1
Veneri_A,10/6/2023,3,High,zebrasoma,flavescens,yellowtang,0,11,11
Veneri_A,10/6/2023,3,High,acanthurus,blochii,ringtailsurgeonfish,0,16,16
Veneri_A,10/6/2023,3,High,parupeneus,insularis,doublebargoatfish,0,3,3
Cook_A,10/6/2023,3,Low,thalassoma,duperrey,saddlewrasse,0,12,12
Cook_A,10/6/2023,3,Low,stethojulis,balteata,beltedwrasse,0,2,2
Cook_A,10/6/2023,3,Low,gomphosus,varius,birdwrasse,0,4,4
Cook_A,10/6/2023,3,Low,scarus,psittacus,palenoseparrotfish,0,15,15
Cook_A,10/6/2023,3,Low,chlorurus,spilurus,bulletheadparrotfish,0,29,29
Cook_A,10/6/2023,3,Low,zebrasoma,flavescens,yellowtang,0,5,5
Cook_A,10/6/2023,3,Low,acanthurus,blochii,ringtailsurgeonfish,0,5,5
Cook_A,10/6/2023,3,Low,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,10/6/2023,3,Low,parupeneus,insularis,doublebargoatfish,0,3,3
Cook_A,10/6/2023,3,Low,halichoeres,ornatissimus,ornatewrasse,0,1,1
Cook_A,10/6/2023,3,Medium,thalassoma,duperrey,saddlewrasse,0,3,3
Cook_A,10/6/2023,3,Medium,stethojulis,balteata,beltedwrasse,2,0,2
Cook_A,10/6/2023,3,Medium,gomphosus,varius,birdwrasse,0,2,2
Cook_A,10/6/2023,3,Medium,chlorurus,spilurus,bulletheadparrotfish,0,12,12
Cook_A,10/6/2023,3,Medium,ctenochaetus,strigosus,goldringsurgeonfish,0,9,9
Cook_A,10/6/2023,3,Medium,zebrasoma,flavescens,yellowtang,0,1,1
Cook_A,10/6/2023,3,Medium,acanthurus,blochii,ringtailsurgeonfish,0,2,2
Cook_A,10/6/2023,3,Medium,parupeneus,insularis,doublebargoatfish,0,1,1
Cook_A,10/6/2023,3,Medium,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,10/6/2023,3,Medium,plectroglyphidodon,marginatus,hawaiiangregory,0,1,1
Cook_A,10/6/2023,3,High,thalassoma,duperrey,saddlewrasse,0,4,4
Cook_A,10/6/2023,3,High,ctenochaetus,strigosus,goldringsurgeonfish,0,12,12
Cook_A,10/6/2023,3,High,zebrasoma,flavescens,yellowtang,0,4,4
Cook_A,10/6/2023,3,High,acanthurus,blochii,ringtailsurgeonfish,0,3,3
Cook_A,10/6/2023,3,High,plectroglyphidodon,marginatus,hawaiiangregory,0,2,2
Cook_A,10/6/2023,3,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,10/6/2023,3,High,chaetodon,lunulatus,ovalbutterflyfish,0,3,3
Cook_A,10/6/2023,3,High,chaetodon,trifascialis,chevronbutterflyfish,0,2,2
Snyder_J,11/3/2023,1,Low,thalassoma,duperrey,saddlewrasse,0,1,1
Snyder_J,11/3/2023,1,Low,ctenochaetus,strigosus,goldringsurgeonfish,0,1,1
Snyder_J,11/3/2023,1,Low,zebrasoma,flavescens,yellowtang,0,4,4
Snyder_J,11/3/2023,1,Low,acanthurus,blochii,ringtailsurgeonfish,0,11,11
Snyder_J,11/3/2023,1,Low,acanthurus,triostegus,convicttang,0,4,4
Snyder_J,11/3/2023,1,Low,canthigaster,jactator,hawaiianwhitespottedpuffer,0,3,3
Snyder_J,11/3/2023,1,Low,caranx,melampygus,bluefintrevally,0,3,3
Snyder_J,11/3/2023,1,Low,chaetodontidae,unknown,butterflyfishunknown,0,1,1
InnesG_A,11/3/2023,1,Low,thalassoma,duperrey,saddlewrasse,0,1,1
InnesG_A,11/3/2023,1,Low,gomphosus,varius,birdwrasse,1,0,1
InnesG_A,11/3/2023,1,Low,chlorurus,spilurus,bulletheadparrotfish,4,0,4
InnesG_A,11/3/2023,1,Low,ctenochaetus,strigosus,goldringsurgeonfish,0,5,5
InnesG_A,11/3/2023,1,Low,zebrasoma,flavescens,yellowtang,0,2,2
InnesG_A,11/3/2023,1,Low,canthigaster,jactator,hawaiianwhitespottedpuffer,2,0,2
InnesG_A,11/3/2023,1,Low,labroides,phthirophagus,hawaiiancleanerwrasse,0,2,2
Snyder_J,11/3/2023,1,Medium,thalassoma,duperrey,saddlewrasse,0,1,1
Snyder_J,11/3/2023,1,Medium,chlorurus,spilurus,bulletheadparrotfish,0,5,5
Snyder_J,11/3/2023,1,Medium,acanthurus,blochii,ringtailsurgeonfish,0,3,3
Snyder_J,11/3/2023,1,Medium,dascyllus,albisella,hawaiiandascyllus,5,0,5
Snyder_J,11/3/2023,1,Medium,chaetodontidae,unknown,chaetodontidaeunknown,0,1,1
Cook_A,11/3/2023,1,Medium,thalassoma,duperrey,saddlewrasse,0,12,12
Cook_A,11/3/2023,1,Medium,gomphosus,varius,birdwrasse,0,1,1
Cook_A,11/3/2023,1,Medium,scarus,psittacus,palenoseparrotfish,25,0,25
Cook_A,11/3/2023,1,Medium,chlorurus,spilurus,bulletheadparrotfish,27,0,27
Cook_A,11/3/2023,1,Medium,ctenochaetus,strigosus,goldringsurgeonfish,0,13,13
Cook_A,11/3/2023,1,Medium,zebrasoma,flavescens,yellowtang,1,0,1
Cook_A,11/3/2023,1,Medium,acanthurus,blochii,ringtailsurgeonfish,0,5,5
Cook_A,11/3/2023,1,Medium,acanthurus,nigrofuscus,brownsurgeonfish,0,2,2
Cook_A,11/3/2023,1,Medium,acanthurus,triostegus,convicttang,0,16,16
Cook_A,11/3/2023,1,Medium,plectroglyphidodon,johnstonianus,blueeyedamselfish,0,6,6
Cook_A,11/3/2023,1,Medium,canthigaster,jactator,hawaiianwhitespottedpuffer,0,4,4
Cook_A,11/3/2023,1,Medium,cheilio,inermis,cigarwrasse,0,1,1
Cook_A,11/3/2023,1,Medium,plectroglyphidodon,sindonis,rockdamselfish,0,1,1
Cook_A,11/3/2023,1,Medium,labroides,phthirophagus,hawaiiancleanerwrasse,0,2,2
Cook_A,11/3/2023,1,Medium,mulloidichthys,flavolineatus,yellowstripegoatfish,0,1,1
Cook_A,11/3/2023,1,High,thalassoma,duperrey,saddlewrasse,0,5,5
Cook_A,11/3/2023,1,High,gomphosus,varius,birdwrasse,0,3,3
Cook_A,11/3/2023,1,High,scarus,psittacus,palenoseparrotfish,52,0,52
Cook_A,11/3/2023,1,High,chlorurus,spilurus,bulletheadparrotfish,12,0,12
Cook_A,11/3/2023,1,High,ctenochaetus,strigosus,goldringsurgeonfish,0,4,4
Cook_A,11/3/2023,1,High,zebrasoma,flavescens,yellowtang,0,5,5
Cook_A,11/3/2023,1,High,acanthurus,blochii,ringtailsurgeonfish,0,5,5
Cook_A,11/3/2023,1,High,mulloidichthys,flavolineatus,yellowstripegoatfish,0,5,5
Cook_A,11/3/2023,1,High,abudefduf,abdominalis,hawaiiansergeant,0,2,2
Cook_A,11/3/2023,1,High,chaetodon,lunulatus,ovalbutterflyfish,0,6,6
Cook_A,11/3/2023,1,High,acanthurus,triostegus,convicttang,0,1,1
Cook_A,11/3/2023,1,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,4,4
Cook_A,11/3/2023,1,High,aulostomus,chinensis,chinesetrumpetfish,0,1,1
Veneri_A,11/3/2023,1,High,thalassoma,duperrey,saddlewrasse,0,5,5
Veneri_A,11/3/2023,1,High,stethojulis,balteata,beltedwrasse,0,2,2
Veneri_A,11/3/2023,1,High,gomphosus,varius,birdwrasse,0,5,5
Veneri_A,11/3/2023,1,High,ctenochaetus,strigosus,goldringsurgeonfish,0,4,4
Veneri_A,11/3/2023,1,High,zebrasoma,flavescens,yellowtang,0,12,12
Veneri_A,11/3/2023,1,High,acanthurus,blochii,ringtailsurgeonfish,0,20,20
Veneri_A,11/3/2023,1,High,acanthurus,nigrofuscus,brownsurgeonfish,0,3,3
Veneri_A,11/3/2023,1,High,mulloidichthys,flavolineatus,yellowstripegoatfish,0,3,3
Veneri_A,11/3/2023,1,High,naso,lituratus,orangespineunicornfish,0,2,2
Veneri_A,11/3/2023,1,High,pomacanthus,imperator,emperorangelfish,0,2,2
InnesG_A,11/8/2023,2,Low,thalassoma,duperrey,saddlewrasse,5,0,5
InnesG_A,11/8/2023,2,Low,gomphosus,varius,birdwrasse,0,3,3
InnesG_A,11/8/2023,2,Low,chlorurus,spilurus,bulletheadparrotfish,3,0,3
InnesG_A,11/8/2023,2,Low,acanthurus,blochii,ringtailsurgeonfish,2,0,2
Cook_A,11/8/2023,2,Low,thalassoma,duperrey,saddlewrasse,0,3,3
Cook_A,11/8/2023,2,Low,stethojulis,balteata,beltedwrasse,0,5,5
Cook_A,11/8/2023,2,Low,gomphosus,varius,birdwrasse,0,2,2
Cook_A,11/8/2023,2,Low,scarus,psittacus,palenoseparrotfish,12,0,12
Cook_A,11/8/2023,2,Low,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,11/8/2023,2,Low,gymnothorax,meleagris,whitemouthmoray,0,1,1
Cook_A,11/8/2023,2,Low,plectroglyphidodon,johnstonianus,blueeyedamselfish,1,0,1
Cook_A,11/8/2023,2,Low,abudefduf,abdominalis,hawaiiansergeant,0,10,10
Cook_A,11/8/2023,2,Medium,thalassoma,duperrey,saddlewrasse,0,12,12
Cook_A,11/8/2023,2,Medium,stethojulis,balteata,beltedwrasse,0,5,5
Cook_A,11/8/2023,2,Medium,gomphosus,varius,birdwrasse,0,1,1
Cook_A,11/8/2023,2,Medium,scarus,psittacus,palenoseparrotfish,30,0,30
Cook_A,11/8/2023,2,Medium,chlorurus,spilurus,bulletheadparrotfish,19,0,19
Cook_A,11/8/2023,2,Medium,ctenochaetus,strigosus,goldringsurgeonfish,0,1,1
Cook_A,11/8/2023,2,Medium,acanthurus,blochii,ringtailsurgeonfish,0,1,1
Cook_A,11/8/2023,2,Medium,parupeneus,multifasciatus,manybargoatfish,0,3,3
Cook_A,11/8/2023,2,Medium,chaetodon,lunula,racconbutterflyfish,0,1,1
Cook_A,11/8/2023,2,Medium,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
InnesG_A,11/8/2023,2,Medium,thalassoma,duperrey,saddlewrasse,0,9,9
InnesG_A,11/8/2023,2,Medium,scarus,psittacus,palenoseparrotfish,5,0,5
InnesG_A,11/8/2023,2,Medium,chlorurus,spilurus,bulletheadparrotfish,4,0,4
InnesG_A,11/8/2023,2,Medium,ctenochaetus,strigosus,goldringsurgeonfish,2,0,2
InnesG_A,11/8/2023,2,Medium,zebrasoma,flavescens,yellowtang,6,0,6
InnesG_A,11/8/2023,2,Medium,acanthurus,blochii,ringtailsurgeonfish,0,2,2
Cook_A,11/8/2023,2,High,thalassoma,duperrey,saddlewrasse,0,180,180
Cook_A,11/8/2023,2,High,gomphosus,varius,birdwrasse,0,7,7
Cook_A,11/8/2023,2,High,scarus,psittacus,palenoseparrotfish,25,0,25
Cook_A,11/8/2023,2,High,chlorurus,spilurus,bulletheadparrotfish,5,35,40
Cook_A,11/8/2023,2,High,ctenochaetus,strigosus,goldringsurgeonfish,0,17,17
Cook_A,11/8/2023,2,High,zebrasoma,flavescens,yellowtang,0,3,3
Cook_A,11/8/2023,2,High,acanthurus,nigrofuscus,brownsurgeonfish,0,3,3
Cook_A,11/8/2023,2,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,4,4
Cook_A,11/8/2023,2,High,labroides,phthirophagus,hawaiiancleanerwrasse,0,1,1
Cook_A,11/8/2023,2,High,plectroglyphidodon,johnstonianus,blueeyedamselfish,2,0,2
Cook_A,11/8/2023,2,High,parupeneus,multifasciatus,manybargoatfish,0,1,1
InnesG_A,11/8/2023,2,High,thalassoma,duperrey,saddlewrasse,0,81,81
InnesG_A,11/8/2023,2,High,scarus,psittacus,palenoseparrotfish,5,0,5
InnesG_A,11/8/2023,2,High,chlorurus,spilurus,bulletheadparrotfish,2,0,2
InnesG_A,11/8/2023,2,High,ctenochaetus,strigosus,goldringsurgeonfish,0,2,2
InnesG_A,11/8/2023,2,High,zebrasoma,flavescens,yellowtang,0,1,1
InnesG_A,11/8/2023,2,High,gymnothorax,meleagris,whitemouthmoray,0,1,1
InnesG_A,11/8/2023,2,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,12/11/2023,1,High,thalassoma,duperrey,saddlewrasse,0,8,8
Cook_A,12/11/2023,1,High,gomphosus,varius,birdwrasse,0,3,3
Cook_A,12/11/2023,1,High,scarus,psittacus,palenoseparrotfish,0,21,21
Cook_A,12/11/2023,1,High,chlorurus,spilurus,bulletheadparrotfish,0,5,5
Cook_A,12/11/2023,1,High,ctenochaetus,strigosus,goldringsurgeonfish,0,6,6
Cook_A,12/11/2023,1,High,zebrasoma,flavescens,yellowtang,0,3,3
Cook_A,12/11/2023,1,High,acanthurus,blochii,ringtailsurgeonfish,0,2,2
Cook_A,12/11/2023,1,High,mulloidichthys,flavolineatus,yellowstripegoatfish,0,19,19
Cook_A,12/11/2023,1,High,chaetodon,lunulatus,ovalbutterflyfish,0,7,7
Cook_A,12/11/2023,1,High,abudefduf,abdominalis,hawaiiansergeant,0,1,1
Cook_A,12/11/2023,1,High,plectroglyphidodon,marginatus,hawaiiangregory,15,0,15
Cook_A,12/11/2023,1,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,2,2
Cook_A,12/11/2023,1,High,thalassoma,duperrey,saddlewrasse,2,6,8
Cook_A,12/11/2023,1,High,gomphosus,varius,birdwrasse,0,2,2
Cook_A,12/11/2023,1,High,chlorurus,spilurus,bulletheadparrotfish,7,5,12
Cook_A,12/11/2023,1,High,zanclus,cornutus,morisidol,0,1,1
Cook_A,12/11/2023,1,High,ctenochaetus,strigosus,goldringsurgeonfish,0,4,4
Cook_A,12/11/2023,1,High,chelonia,mydas,greenseaturtle,0,1,1
Cook_A,12/11/2023,1,High,dascyllus,albisella,hawaiiandascyllus,0,5,5
Cook_A,12/11/2023,1,High,chaetodon,lunulatus,ovalbutterflyfish,0,4,4
Cook_A,12/11/2023,1,High,abudefduf,abdominalis,hawaiiansergeant,0,3,3
Cook_A,12/11/2023,1,High,plectroglyphidodon,marginatus,hawaiiangregory,0,3,3
Cook_A,12/11/2023,1,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Rahnke_S,12/11/2023,1,Medium,thalassoma,duperrey,saddlewrasse,0,2,2
Rahnke_S,12/11/2023,1,Medium,stethojulis,balteata,beltedwrasse,0,1,1
Rahnke_S,12/11/2023,1,Medium,scarus,psittacus,palenoseparrotfish,2,0,2
Rahnke_S,12/11/2023,1,Medium,zebrasoma,flavescens,yellowtang,0,1,1
Rahnke_S,12/11/2023,1,Medium,acanthurus,triostegus,convicttang,0,2,2
Rahnke_S,12/11/2023,1,Medium,gymnothorax,meleagris,whitemouthmoray,0,1,1
InnesG_A,12/11/2023,1,Medium,thalassoma,duperrey,saddlewrasse,0,6,6
InnesG_A,12/11/2023,1,Medium,scarus,psittacus,palenoseparrotfish,15,0,15
InnesG_A,12/11/2023,1,Medium,ctenochaetus,strigosus,goldringsurgeonfish,0,5,5
InnesG_A,12/11/2023,1,Medium,acanthurus,triostegus,convicttang,0,5,5
InnesG_A,12/11/2023,1,Medium,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Rahnke_S,12/11/2023,1,Low,thalassoma,duperrey,saddlewrasse,0,6,6
Rahnke_S,12/11/2023,1,Low,scarus,psittacus,palenoseparrotfish,8,0,8
Rahnke_S,12/11/2023,1,Low,zebrasoma,flavescens,yellowtang,2,0,2
Rahnke_S,12/11/2023,1,Low,dascyllus,albisella,hawaiiandascyllus,5,2,7
InnesG_A,12/11/2023,1,Low,thalassoma,duperrey,saddlewrasse,4,0,4
InnesG_A,12/11/2023,1,Low,scarus,psittacus,palenoseparrotfish,2,0,2
InnesG_A,12/11/2023,1,Low,ctenochaetus,strigosus,goldringsurgeonfish,0,2,2
InnesG_A,12/11/2023,1,Low,zebrasoma,flavescens,yellowtang,1,0,1
InnesG_A,12/11/2023,1,Low,acanthurus,triostegus,convicttang,0,4,4
InnesG_A,12/11/2023,1,Low,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,01/18/2024,2,Low,thalassoma,duperrey,saddlewrasse,0,12,12
Cook_A,01/18/2024,2,Low,stethojulis,balteata,beltedwrasse,0,4,4
Cook_A,01/18/2024,2,Low,gomphosus,varius,birdwrasse,0,3,3
Cook_A,01/18/2024,2,Low,scarus,psittacus,palenoseparrotfish,0,27,27
Cook_A,01/18/2024,2,Low,chlorurus,spilurus,bulletheadparrotfish,0,4,4
Cook_A,01/18/2024,2,Low,ctenochaetus,strigosus,goldringsurgeonfish,0,2,2
Cook_A,01/18/2024,2,Low,acanthurus,blochii,ringtailsurgeonfish,0,1,1
Cook_A,01/18/2024,2,Low,acanthurus,nigrofuscus,brownsurgeonfish,0,1,1
Cook_A,01/18/2024,2,Low,acanthurus,triostegus,convicttang,0,1,1
Cook_A,01/18/2024,2,Low,arothron,meleagris,spottedpuffer,0,1,1
Cook_A,01/18/2024,2,Low,abudefduf,abdominalis,hawaiiansergeant,0,1,1
Cook_A,01/18/2024,2,Low,cheilio,inermis,cigarwrasse,0,1,1
Cook_A,01/18/2024,2,Low,plectroglyphidodon,johnstonianus,blueeyedamselfish,1,0,1
Cook_A,01/18/2024,2,Low,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
Cook_A,01/18/2024,2,Low,thalassoma,duperrey,saddlewrasse,0,13,13
Cook_A,01/18/2024,2,Low,stethojulis,balteata,beltedwrasse,0,8,8
Cook_A,01/18/2024,2,Low,gomphosus,varius,birdwrasse,0,3,3
Cook_A,01/18/2024,2,Low,scarus,psittacus,palenoseparrotfish,17,0,17
Cook_A,01/18/2024,2,Low,parupeneus,insularis,doublebargoatfish,0,3,3
Cook_A,01/18/2024,2,Low,plectroglyphidodon,marginatus,hawaiiangregory,0,1,1
InnesG_A,01/18/2024,2,Medium,thalassoma,duperrey,saddlewrasse,2,0,2
InnesG_A,01/18/2024,2,Medium,gomphosus,varius,birdwrasse,1,0,1
InnesG_A,01/18/2024,2,Medium,scarus,psittacus,palenoseparrotfish,50,0,50
InnesG_A,01/18/2024,2,Medium,chlorurus,spilurus,bulletheadparrotfish,21,0,21
InnesG_A,01/18/2024,2,Medium,ctenochaetus,strigosus,goldringsurgeonfish,1,0,1
InnesG_A,01/18/2024,2,Medium,thalassoma,duperrey,saddlewrasse,3,0,3
InnesG_A,01/18/2024,2,Medium,gomphosus,varius,birdwrasse,1,0,1
InnesG_A,01/18/2024,2,Medium,scarus,psittacus,palenoseparrotfish,24,0,24
InnesG_A,01/18/2024,2,Medium,chlorurus,spilurus,bulletheadparrotfish,14,0,14
InnesG_A,01/18/2024,2,Medium,zebrasoma,flavescens,yellowtang,1,0,1
Cook_A,01/18/2024,2,High,thalassoma,duperrey,saddlewrasse,0,21,21
Cook_A,01/18/2024,2,High,gomphosus,varius,birdwrasse,0,3,3
Cook_A,01/18/2024,2,High,scarus,psittacus,palenoseparrotfish,0,27,27
Cook_A,01/18/2024,2,High,chlorurus,spilurus,bulletheadparrotfish,0,19,19
Cook_A,01/18/2024,2,High,ctenochaetus,strigosus,goldringsurgeonfish,0,12,12
Cook_A,01/18/2024,2,High,zebrasoma,flavescens,yellowtang,0,4,4
Cook_A,01/18/2024,2,High,acanthurus,nigrofuscus,brownsurgeonfish,0,4,4
Cook_A,01/18/2024,2,High,plectroglyphidodon,marginatus,hawaiiangregory,0,2,2
Cook_A,01/18/2024,2,High,chelonia,mydas,greenseaturtle,0,1,1
Cook_A,01/18/2024,2,High,canthigaster,jactator,hawaiianwhitespottedpuffer,0,1,1
